# Reconstructed SD data list, created using the Offline Framework
#
#      SdId         AugerId      GPSSec     GPSNSec   BadPeriod      YYMMDD      HHMMSS         MJD          T4          T5     LDFStat      Energy   EnergyErr       S1000    S1000Err    S1000Sys       Theta    ThetaErr         Phi      PhiErr   ThetaSite     PhiSite       NCand        NAct       NWork       Xcore       Ycore       Zcore    XcoreErr    YcoreErr    ZcoreErr     Easting    Northing          RA         Dec       RAErr      DecErr      GalLat     GalLong   GalLatErr  GalLongErr   PlaneChi2    PlaneNdf        Beta     BetaErr       Gamma    GammaErr     LDFchi2      LDFNdf       RCurv    RCurvErr    RiseTime RiseTimeErr    TResMean  TResSpread
   67355200    220750134300  1331468558   156977000           0      220316      122220  5.9655e+04          18           0         4.5  1.3852e+00  4.7945e-01  6.4608e+00  2.1687e+00  7.7676e-01  4.2801e+01  3.0784e+00 -1.9500e+01  1.2392e+00  4.2846e+01 -1.9468e+01           3           3  0.0000e+00      7383.5      5955.0       -24.0  2.1387e+02  1.3217e+02  0.0000e+00    484620.6   6105173.6  3.4431e+02 -3.7463e+01  3.8452e+00  9.3266e-01 -6.3879e+01  2.4436e+00  3.0738e+00  1.9500e+00  1.0131e-04           0 -1.9958e+00  0.0000e+00  3.4390e-02  0.0000e+00  1.1278e+00           0  9.1225e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  1.0082e-03  7.0094e-03
   67355204    220750136600  1331468581   934488000           0      220316      122243  5.9655e+04          22           3         4.5  3.2073e+00  2.5195e-01  1.7679e+01  1.3469e+00  7.9941e-01  2.1233e+01  4.5221e-01 -1.6765e+01  1.0027e+00  2.1348e+01 -1.6389e+01           4           4  0.0000e+00     18442.6     16744.9       -87.6  3.3914e+01  2.2465e+01  0.0000e+00    495645.9   6115984.6  3.1700e+02 -3.8420e+01  5.7729e-01  3.6303e-01 -4.2430e+01  4.4015e+00  4.5172e-01  4.9280e-01  6.7326e-01           1 -2.3218e+00  0.0000e+00  2.7849e-02  0.0000e+00  1.2009e+00           1  8.2238e+00  0.0000e+00  2.7949e+02  1.9527e+01  1.8113e-01  4.2507e-01
   67355215    220750143500  1331468650   302865000           0      220316      122352  5.9655e+04          18           3         4.5  8.7058e-01  1.7348e-01  4.8411e+00  9.3559e-01  2.2507e-01  2.9254e+00  1.5637e+00  6.5982e+01  1.6037e+01  3.2512e+00  6.4920e+01           3           3  0.0000e+00     20230.5     30527.2      -127.2  5.7955e+01  9.7565e+01  0.0000e+00    497398.2   6129763.0  2.9245e+02 -3.2294e+01  1.1539e+00  1.4709e+00 -2.1648e+01  6.6689e+00  8.2434e-01  1.6791e+00  7.3525e-07           0 -2.3282e+00  0.0000e+00  6.2552e-02  0.0000e+00  1.0350e-02           0  6.6614e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -4.2884e-04  3.0294e-04
   67355225    220750150500  1331468720   297359000           0      220316      122502  5.9655e+04          18           3         4.5  8.2343e-01  1.2830e-01  4.6998e+00  7.1020e-01  3.5359e-01  1.5809e+01  8.8634e-01  9.7121e+01  2.7403e+00  1.5696e+01  9.7392e+01           3           5  0.0000e+00     -5720.1    -13407.0       -24.4  5.5173e+01  5.4107e+01  0.0000e+00    471573.8   6085790.5  2.8899e+02 -1.9666e+01  8.0261e-01  8.7848e-01 -1.4061e+01  1.7775e+01  8.1334e-01  8.5098e-01  3.2892e-05           0 -2.2863e+00  0.0000e+00  6.5994e-02  0.0000e+00  1.5383e-03           0  6.9030e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  3.0434e-03  1.5977e-03
   67355241    220750163500  1331468850   801907000           0      220316      122712  5.9655e+04           4           3         4.5  2.8718e+00  4.1609e-01  3.9558e+00  5.5585e-01  5.7298e-01  7.0803e+01  2.7293e-01  1.3514e+01  2.3662e-01  7.0718e+01  1.3478e+01           6           8  0.0000e+00     -4433.7    -21866.0       -55.9  2.0317e+02  1.0611e+02  0.0000e+00    472880.9   6077339.9  3.5828e+02 -6.2545e-01  2.8061e-01  2.1378e-01 -6.0025e+01  9.2683e+01  2.1367e-01  5.6179e-01  4.7587e-01           2 -1.1514e+00  0.0000e+00 -3.7871e-01  0.0000e+00  6.8999e+00           3  5.3893e+01  1.5036e+01 -1.0000e+00 -1.0000e+00  1.1297e-02  3.0823e-01
   67355245    220750164600  1331468861   855524000           0      220316      122723  5.9655e+04          18           0         4.5  3.2465e-01  8.4519e-02  1.9135e+00  4.8313e-01  1.9954e-01  1.8669e+01  8.7697e-01  1.5770e+02  4.3716e+00  1.8969e+01  1.5792e+02           3           3  0.0000e+00    -31238.8     11911.1        81.5  7.4929e+01  1.1816e+02  0.0000e+00    446007.5   6111028.9  2.7203e+02 -2.6487e+01  1.1310e+00  1.3048e+00 -3.0805e+00  4.6199e+00  8.7310e-01  1.4038e+00  5.7609e-06           0 -2.2223e+00  0.0000e+00  8.9347e-02  0.0000e+00  1.4628e-05           0  6.3754e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  5.1146e-04  1.5749e-03
   67355294    220750205900  1331469274   596356000           0      220316      123416  5.9655e+04          18           3         4.5  5.1166e-01  1.1355e-01  2.8624e+00  6.1610e-01  3.2911e-01  3.1938e+01  1.4949e+00 -1.4245e+02  3.1799e+00  3.1654e+01 -1.4252e+02           3           4  0.0000e+00     30311.1     12346.0      -135.5  6.1015e+01  1.0580e+02  0.0000e+00    507518.3   6111618.4  2.5424e+02 -4.8769e+01  1.8976e+00  1.8709e+00 -3.5507e+00  3.3836e+02  7.9927e-01  2.1078e+00  1.2385e-05           0 -2.1139e+00  0.0000e+00  3.9113e-02  0.0000e+00  4.7733e-04           0  7.7437e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -1.7704e-04  2.4790e-03
   67355311    220750215500  1331469370   322576000           0      220316      123552  5.9655e+04          18           3         4.5  4.1795e-01  1.1421e-01  2.3642e+00  6.2657e-01  2.5892e-01  3.1301e+01  8.2603e-01  1.1271e+02  2.7057e+00  3.1413e+01  1.1274e+02           3           3  0.0000e+00     -4772.9     11484.8        -3.1  1.3922e+02  6.8484e+01  0.0000e+00    472457.8   6110669.4  2.8214e+02 -5.7387e+00  1.4264e+00  8.0251e-01 -1.9786e+00  2.7498e+01  1.2635e+00  1.0311e+00  6.9491e-07           0 -2.1103e+00  0.0000e+00  4.5665e-02  0.0000e+00  4.2398e-04           0  7.4880e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  2.9895e-04  4.6119e-04
   67355315    220750216700  1331469382   347869000           0      220316      123604  5.9655e+04          18           2         4.5  8.0616e-01  1.6007e-01  3.4395e+00  6.6235e-01  5.4354e-01  4.7284e+01  1.2079e+00  1.2344e+02  8.7380e-01  4.7454e+01  1.2324e+02           3           3  0.0000e+00      5745.2     26256.7       -75.6  9.1695e+01  1.9185e+02  0.0000e+00    482932.4   6125458.7  2.6989e+02  6.4850e+00  5.2175e-01  1.2659e+00  1.4474e+01  3.2864e+01  8.1368e-01  1.1356e+00  9.3154e-06           0 -1.8501e+00  0.0000e+00  1.1582e-01  0.0000e+00  5.5011e-03           0  1.1084e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  3.8680e-04  2.1056e-03
   67355318    220750218300  1331469398   600393000           0      220316      123620  5.9655e+04          18           3         4.5  4.3136e-01  9.6851e-02  2.4853e+00  5.4118e-01  2.5976e-01  2.8107e+01  1.3137e+00  1.5491e+02  2.3968e+00  2.8285e+01  1.5473e+02           3           3  0.0000e+00    -11471.0     22133.0       -16.9  8.5888e+01  8.8958e+01  0.0000e+00    465737.2   6121294.3  2.6680e+02 -2.0062e+01  1.1734e+00  1.3364e+00  4.2920e+00  7.7833e+00  1.2786e+00  1.1720e+00  6.5428e-10           0 -2.1522e+00  0.0000e+00  5.9676e-02  0.0000e+00  5.6974e-04           0  7.0704e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -1.1330e-05  1.1601e-05
