Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      908    0.030    0.000    1.299    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:278(draw_tex)
        3    0.030    0.010    0.030    0.010 {built-in method _posixsubprocess.fork_exec}
    11244    0.030    0.000    0.069    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1900(__init__)
     4641    0.030    0.000    0.130    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:658(__init__)
    35764    0.029    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
    15001    0.028    0.000    0.835    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:963(split_line)
     2346    0.028    0.000    0.476    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:872(get_window_extent)
    23841    0.027    0.000    0.042    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1783(__init__)
      703    0.027    0.000    0.740    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:57(__init__)
     1861    0.027    0.000    0.087    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:245(_output)
       27    0.026    0.001    0.026    0.001 {method 'copy' of 'ImagingCore' objects}
      648    0.026    0.000    0.233    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:2052(_raw_ticks)
 1080/513    0.026    0.000    0.812    0.002 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:466(get_extent_offsets)
    45669    0.026    0.000    0.026    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:107(__init__)
   150042    0.025    0.000    0.025    0.000 {function RcParams.__getitem__ at 0x7faaeb6423a0}
30001/15001    0.025    0.000    0.336    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_internal.py:908(__call__)
5564/4412    0.024    0.000    0.119    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2441(get_affine)
     3722    0.024    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:462(<listcomp>)
   164099    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
     2120    0.023    0.000    0.558    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:759(set_clip_path)
       27    0.022    0.001    0.022    0.001 {method 'close' of '_io.BufferedRandom' objects}
   147457    0.021    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:832(get_animated)
     2207    0.021    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/zmq/sugar/socket.py:480(send)
      638    0.021    0.000    0.025    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    16580    0.021    0.000    0.207    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    27309    0.021    0.000    0.024    0.000 {built-in method builtins.max}
    28331    0.020    0.000    0.060    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:405(pchanged)
     1968    0.020    0.000    0.037    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:637(translated)
    10503    0.019    0.000    0.019    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4643    0.019    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:826(set_weight)
     5942    0.019    0.000    0.070    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
15100/14165    0.019    0.000    0.107    0.000 /cr/users/filip/anaconda3/lib/python3.9/contextlib.py:123(__exit__)
31835/28095    0.019    0.000    0.203    0.000 {built-in method builtins.next}
    65062    0.019    0.000    0.019    0.000 {built-in method builtins.hasattr}
      648    0.018    0.000    0.064    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:787(_set_format)
     5342    0.018    0.000    0.228    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:162(update)
15196/10988    0.018    0.000    0.021    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:180(_invalidate_internal)
     1861    0.018    0.000    1.610    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/texmanager.py:331(get_text_width_height_descent)
     4553    0.018    0.000    0.084    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/markers.py:295(_set_marker)
   109918    0.018    0.000    0.018    0.000 {built-in method builtins.issubclass}
     5160    0.017    0.000    0.025    0.000 /cr/users/filip/anaconda3/lib/python3.9/posixpath.py:334(normpath)
     4461    0.017    0.000    0.027    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:710(__hash__)
     1861    0.017    0.000    1.633    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:251(get_text_width_height_descent)
     5499    0.017    0.000    0.039    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:584(_height_depth_of)
    19527    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
      324    0.016    0.000    0.965    0.003 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:1040(_update_ticks)
    19333    0.016    0.000    0.025    0.000 /cr/users/filip/anaconda3/lib/python3.9/re.py:289(_compile)
  5556/54    0.016    0.000    3.571    0.066 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:32(draw_wrapper)
     6569    0.016    0.000    0.040    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2351(__init__)
    40786    0.016    0.000    0.054    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:77(_arg)
     3767    0.016    0.000    0.322    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:290(_get_layout)
     2248    0.015    0.000    0.044    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backend_bases.py:735(__init__)
